Title, Released (from-to), category1, category2, category3, catergory4, rating, Seasons1-Episodes1, Seasons2-Episodes2,Seasons3-Episodes3, Seasons4-Episodes4, Seasons5-Episodes5, Seasons6-Episodes6, Seasons7-Episodes7, Seasons8-Episodes8, Seasons9-Episodes9
Angel, 1999-2004, Action, Drama, Fantasy, 8,0, 1-22, 2-22, 3-22, 4-22, 5-22,0,0,0,0
V, 1984-1985, Action, Adventure, Sci-fi, 7,3, 1-13,0,0,0,0,0,0,0,0
Jessica Jones, 2015- , Action, Crime, Drama, 8,1, 1-13, 2-13,0,0,0,0,0,0,0
Daredevil, 2015- , Action, Crime, Drama, 8,7, 1-13, 2-13, 3-13,0,0,0,0,0,0
Seinfeld, 1989-1998, Comedy, 8,9, 1-5, 2-12, 3-23, 4-24, 5-22, 6-24, 7-24, 8-22, 9-24,0,0
Slings And Arrows, 2003-2006, Comedy, 8,5, 1-6, 2-6, 3-6,0,0,0,0,0,0,0,0
I Claudius, 1976,  Biography, Drama, History, 8,9, 1-12,0,0,0,0,0,0,0,0
Rome, 2005-2007, Action, Drama, History, 8,8, 1-12, 2-10,0,0,0,0,0,0,0
Ray Donovan, 2013- , Crime, Drama, 8,3, 1-12, 2-12, 3-12, 4-12, 5-12, 6-12,0,0,0,0
Better Call Saul, 2015- , Crime, Drama, 8,7, 1-10, 2-10, 3-10, 4-10,0,0,0,0,0,0
The Honeymooners, 1955-1956, Comedy, Family, 8,7, 1-39,0,0,0,0,0,0,0,0,0
Spaced, 1999-2001, Action, Comedy, 8,6, 1-7, 2-7,0,0,0,0,0,0,0,0
The Twilight Zone, 1959-1964, Fantasy, Horror, Mystery, 9,0, 1-36, 2-29, 3-37, 4-18, 5-36,0,0,0,0
Fraiser, 1993-2004, Comedy, 8,1, 1-24, 2-24, 3-24, 4-24, 5-24, 6-24, 7-24, 8-24, 9-24, 10-24, 11-24
Alfred Hitchcock Presents, 1955-1962, Crime, Drama, Mystery, 8,6, 1-39, 2-39, 3-39, 4-36, 5-38, 6-38, 7-38,0,0
I Love Lucy, 1951-1957, Comedy, Family, 8,3, 1-35, 2-31, 3-31, 4-30, 5-26, 6-27,0,0,0,0
24, 2001-2010, Action, Crime, Drama, 8,4, 1-24, 2-24, 3-24, 4-24, 5-24, 6-24,7-24, 8-24,0
The Americans, 2013-2018, Crime, Drama, Mystery, 8,4, 1-13, 2-13, 3-13, 4-13, 5-13, 6-10,0,0,0
Girls, 2012-2017, Comedy, Drama, 7,3, 1-10, 2-10, 3-12, 4-10, 5-10, 6-10,0,0,0,0
Mad Men, 2007-2015, Drama, 8,6, 1-13, 2-13, 3-13, 4-13, 5-13, 6-13, 7-14,0,0,0,0
Northern Exposure, 1990-1995, Comedy, Drama, Fantasy, 8,3, 1-8, 2-7, 3-23, 4-25, 5-24, 6-23,0,0,0
Star Trek, 1966-1969, Action, Adventure, Sci-fi, 8,3, 1-29, 2-26, 3-24,0,0,0,0,0,0
Big Little Lies, 2017 , Crime, Drama, Mystery, 8,6, 1-7,0,0,0,0,0,0,0,0
Firefly, 2002-2003, Adventure, Drama, Sci-fi, 9,0, 1-14,0,0,0,0,0,0,0,0
Spartacus, 2010-2013, Action, Adventure, Biography, 8,5, 1-13, 2-10, 3-10,0,0,0,0,0,0
Mr Show With Bob And David, 1995-1998, Comedy, 8,3, 1-4, 2-6, 3-10, 4-10,0,0,0,0,0,0,0
Homeland, 2011-, Crime, Drama, Mystery, 8,3, 1-12, 2-12, 3-12, 4-12, 5-12, 6-12, 7-12,0,0
Show Me A Hero, 2015, Drama, History, 8,1, 1-6,0,0,0,0,0,0,0,0,0
Crisis In Six Scenes, 2016, Comedy, 6,6, 1-6,0,0,0,0,0,0,0,0,0,0
Batman, 1966-1968, Action, Adventure, Comedy, 7,5, 1-34, 2-60, 3-26,0,0,0,0,0,0
Luke Cage, 2016-2018, Action, Crime, Drama, 7,5, 1-13, 2-13,0,0,0,0,0,0,0
South Park, 1997-, Animation, Comedy, 8,7, 1-13, 2-18, 3-17, 4-17, 5-14, 6-17, 7-15, 8-14, 9-14, 10-14, 11-14, 12-14, 13-14, 14-14, 15-14, 16-14, 17-10, 18-10, 19-10, 20-10, 21-10, 22-10
Band Of Brothers, 2001, Action, Drama, History, 9,5, 1-10,0,0,0,0,0,0,0,0
Married With Children, 1986-1997, Comedy, 8,1, 1-13, 2-22, 3-22, 4-23, 5-25, 6-26, 7-26, 8-26, 9-26, 10-26, 11-24
Family Ties, 1982-1989, Comedy, Family, 7,2, 1-21, 2-22, 3-22, 4-22, 5-24, 6-24, 7-20,0,0,0
Lonesome Dove, 1989, Adventure, Drama, Western, 8,7, 1-4,0,0,0,0,0,0,0,0
Pride And Prejudice, 1995, Drama, Romance, 8,9, 1-6,0,0,0,0,0,0,0,0,0
Flying Blind, 1992-1993, Comedy, 8,0, 1-22,0,0,0,0,0,0,0,0,0,0
Battlestar Galactica, 2004-2009, Action, Adventure, Drama, 8,7, 1-13, 2-20, 3-20, 4-20,0,0,0,0,0
Lucky Louie, 2006-2007, Comedy, 8,0, 1-13,0,0,0,0,0,0,0,0,0,0
Dekalog, 1989-1990, Drama, 9,1, 1-10,0,0,0,0,0,0,0,0,0,0
It's Garry Shandling's Show, 1986-1990, Comedy, 7,6, 1-16, 2-17, 3-20, 4-19,0,0,0,0,0,0,0
On The Air, 1992, Comedy, 7,4, 1-7,0,0,0,0,0,0,0,0,0,0
All In The Family, 1971-1979, Comedy, Drama, 7,4, 1-13, 2-24, 3-24, 4-24, 5-23, 6-24, 7-25, 8-24, 9-24,0
Entourage, 2004-2011, Comedy, Drama, 8,5, 1-8, 2-14, 3-20, 4-12, 5-12, 6-12, 7-10, 8-8,0,0
Ally McBeal, 1997-2002, Comedy, Drama, Fantasy, 6,8, 1-23, 2-23, 3-21, 4-23, 5-22,0,0,0,0
The Strain, 2014-2017, Drama, Horror, Thriller, 7,4, 1-13, 2-13, 3-10, 4-10,0,0,0,0,0
The Man In The High Castle, 2015- , Drama, Sci-fi, Thriller, 8,1, 1-10, 2-10, 3-10,0,0,0,0,0,0
Sons Of Anarchy, 2008-2014, Crime, Drama, Thriller, 8,6, 1-13, 2-13, 3-13, 4-14, 5-13, 6-13, 7-13,0,0
The Punisher, 2017 , Action, Adventure, Crime, 8,6, 1-13,0,0,0,0,0,0,0,0
Boardwalk Empire, 2010-2014, Crime, Drama, History, 8,6, 1-12, 2-12, 3-12, 4-12, 5-8,0,0,0,0
Damages, 2007-2012, Crime, Drama, Mystery, 8,1, 1-13, 2-13, 3-13, 4-10, 5-10,0,0,0,0
Banshee, 2013-2016, Action, Crime, Drama, 8,4, 1-10, 2-10, 3-10, 4-8,0,0,0,0,0
Planet Earth, 2006, Documentary, 9,4, 1-11,0,0,0,0,0,0,0,0,0,0
Freaks And Geeks, 1999-2000, Comedy, Drama, 8,8, 1-18,0,0,0,0,0,0,0,0,0
The Way We Live Now, 2001, Drama, Romance, 7,7, 1-4,0,0,0,0,0,0,0,0,0
Justified, 2010-2015, Action, Crime, Drama, 8,6, 1-13, 2-13, 3-13, 4-13, 5-13, 6-13,0,0,0
Arrested Development, 2003- , Comedy, 8,9, 1-22, 2-18, 3-13, 4-22, 5-16,0,0,0,0,0,0
Stranger Things, 2016- , Drama, Fantasy, Horror, 8,9, 1-8, 2-9,0,0,0,0,0,0,0
Night Court, 1984-1992, Comedy, 7,7, 1-13, 2-22, 3-22, 4-22, 5-22, 6-22, 7-24, 8-24, 9-22,0,0
Revenge, 2011-2015, Drama, Mystery, Thriller, 7,9, 1-22, 2-22, 3-22, 4-23,0,0,0,0,0
Da Ali G Show, 2003-2004, Comedy, Talk-show, 8,0, 1-6, 2-6, 3-6,0,0,0,0,0,0,0
Sex & The City, 1998-2004, Comedy, Drama, Romance, 7,1, 1-12, 2-18, 3-18, 4-18, 5-8, 6-20,0,0,0
Tyrant, 2014-2016, Action, Drama, Thriller, 7,8, 1-10, 2-12, 3-10,0,0,0,0,0,0
Billions, 2016- , Drama, 8,4, 1-12, 2-12, 3-12,0,0,0,0,0,0,0,0
Shameless, 2011- , Comedy, Drama, 8,7, 1-12, 2-12, 3-12, 4-12, 5-12, 6-12, 7-12, 8-12, 9-7,0
Smallville, 2001-2011, Adventure, Drama, Romance, 7,5, 1-21, 2-23, 3-22, 4-22, 5-22, 6-22, 7-20, 8-22, 9-21, 19-22
The Defenders, 2017 , Action, Adventure, Crime, 7,5, 1-8,0,0,0,0,0,0,0,0
House, 2004-2012, Drama, Mystery, 8,8,  1-22, 2-24, 3-24, 4-16, 5-24, 6-21, 7-23, 8-22,0,0
Fear The Walking Dead, 2015-, Drama, Horror, Sci-fi, 7,0, 1-6, 2-15, 3-16, 4-16,0,0,0,0,0
True Blood, 2008-2014, Drama, Fantasy, Mystery, 7,9, 1-12, 2-12, 3-12, 4-12, 5-12, 6-10, 7-10,0,0
GLOW, 2017- , Comedy, Drama, Sport, 8,2, 1-10, 2-10,0,0,0,0,0,0,0
Doctor Thorne, 2016 , Drama, 7,3, 1-3,0,0,0,0,0,0,0,0,0,0
The Civil War, 1990, Documentary, History, War, 9,1, 1-9,0,0,0,0,0,0,0,0
Person Of Interest, 2011-2016, Action, Crime, Drama, 8,4, 1-23, 2-22, 3-23, 4-22, 5-13,0,0,0,0
Californication, 2007-2014, Comedy, Drama, 8,3, 1-12, 2-12, 3-12, 4-12, 5-12, 6-12, 7-12,0,0,0
Three's Company, 1976-1984, Comedy, 7,6, 1-6, 2-25, 3-22, 4-25, 5-22, 6-28, 7-22, 8-22,0,0,0
Dexter, 2006-2013, Crime, Drama, Mystery, 8,7, 1-12, 2-12, 3-12, 4-12, 5-12, 6-12, 7-12,8-12,0
